indicator,trades_bullish,trades_bearish,avg_pnl_bullish,avg_pnl_bearish,win_rate_bullish,win_rate_bearish,total_pnl_bullish,total_pnl_bearish,improvement,score
RSI(7) > 60,4,28,-18.74034840767477,1.869882901766961,0.0,0.4642857142857143,-74.96139363069908,52.35672124947491,-42.51319698167266,-30.391984860460536
RSI(21) > 50,4,28,-19.72780844903962,2.0109486219619406,0.0,0.4642857142857143,-78.91123379615848,56.306561414934336,-46.46303714713206,-34.341825025919945
Stoch(14) > 60,5,27,-18.92123860919158,2.6667229875827294,0.0,0.48148148148148145,-94.6061930459579,72.00152066473369,-62.15799639693147,-47.006481245416325
Williams%R(14) > -40,5,27,-18.92123860919158,2.6667229875827294,0.0,0.48148148148148145,-94.6061930459579,72.00152066473369,-62.15799639693147,-47.006481245416325
ROC(5) > 0,12,20,-10.89087772765751,5.404293017533297,0.16666666666666666,0.55,-130.69053273189013,108.08586035066594,-98.24233608286372,-61.87869971922735
Momentum(5) > 0,12,20,-10.89087772765751,5.404293017533297,0.16666666666666666,0.55,-130.69053273189013,108.08586035066594,-98.24233608286372,-61.87869971922735
Momentum(3) > 0,13,19,-10.798279287271926,6.198576755437414,0.15384615384615385,0.5789473684210527,-140.37763073453505,117.77295835331087,-107.92943408550863,-68.53549469156924
RSI(14) > 50,11,21,-12.35248535610154,5.393936501709179,0.18181818181818182,0.5238095238095238,-135.87733891711696,113.27266653589277,-103.42914226809054,-70.09580893475722
EMA(10) > EMA(20),19,13,-8.446553962865039,10.606142531785506,0.21052631578947367,0.6923076923076923,-160.48452529443574,137.87985291321158,-128.03632864540933,-70.46057106965175
EMA(12) > EMA(26),19,13,-8.446553962865039,10.606142531785506,0.21052631578947367,0.6923076923076923,-160.48452529443574,137.87985291321158,-128.03632864540933,-70.46057106965175
"MACD(12,26,9) > Signal",16,16,-9.63085824051616,8.21806621668965,0.1875,0.625,-154.09373184825856,131.4890594670344,-121.64553519923214,-73.16068671438366
"MACD(12,26,9) Hist > 0",16,16,-9.63085824051616,8.21806621668965,0.1875,0.625,-154.09373184825856,131.4890594670344,-121.64553519923214,-73.16068671438366
EMA(5) > EMA(10),16,16,-9.63085824051616,8.21806621668965,0.1875,0.625,-154.09373184825856,131.4890594670344,-121.64553519923214,-73.16068671438366
Stoch(14) > 40,12,20,-12.468125237571291,6.350641523481565,0.16666666666666666,0.55,-149.6175028508555,127.01283046963131,-117.16930620182907,-80.8056698381927
Williams%R(14) > -60,12,20,-12.468125237571291,6.350641523481565,0.16666666666666666,0.55,-149.6175028508555,127.01283046963131,-117.16930620182907,-80.8056698381927
CCI(14) > 0,12,20,-12.468125237571291,6.350641523481565,0.16666666666666666,0.55,-149.6175028508555,127.01283046963131,-117.16930620182907,-80.8056698381927
RSI(7) > 50,11,21,-14.4855710223821,6.511267088808519,0.09090909090909091,0.5714285714285714,-159.3412812462031,136.7366088649789,-126.89308459717668,-93.55975126384335
Stoch(14) > 50,8,24,-19.74193029570946,5.63878208268548,0.0,0.5416666666666666,-157.93544236567567,135.3307699844515,-125.48724571664926,-101.244821474225
Williams%R(14) > -50,8,24,-19.74193029570946,5.63878208268548,0.0,0.5416666666666666,-157.93544236567567,135.3307699844515,-125.48724571664926,-101.244821474225
"MACD(5,13,5) > Signal",14,18,-12.588500247052258,8.535240615417079,0.07142857142857142,0.6666666666666666,-176.23900345873162,153.63433107750743,-143.7908068097052,-101.36656438546278
"MACD(5,13,5) Hist > 0",14,18,-12.588500247052258,8.535240615417079,0.07142857142857142,0.6666666666666666,-176.23900345873162,153.63433107750743,-143.7908068097052,-101.36656438546278
"MACD(8,21,5) > Signal",14,18,-13.640286419835407,9.353296527581755,0.07142857142857142,0.6666666666666666,-190.9640098776957,168.35933749647157,-158.5158132286693,-116.09157080442687
"MACD(8,21,5) Hist > 0",14,18,-13.640286419835407,9.353296527581755,0.07142857142857142,0.6666666666666666,-190.9640098776957,168.35933749647157,-158.5158132286693,-116.09157080442687
"BB(10,1.5) Above Middle",10,22,-19.361753900825597,7.773312119410537,0.0,0.5909090909090909,-193.617539008256,171.01286662703183,-161.16934235922957,-130.86631205619926
"BB(10,2.0) Above Middle",10,22,-19.361753900825597,7.773312119410537,0.0,0.5909090909090909,-193.617539008256,171.01286662703183,-161.16934235922957,-130.86631205619926
"BB(10,2.5) Above Middle",10,22,-19.361753900825597,7.773312119410537,0.0,0.5909090909090909,-193.617539008256,171.01286662703183,-161.16934235922957,-130.86631205619926
